Mach,CD
0.01,0.373106523
0.02,0.41025083
0.03,0.414993551
0.04,0.413908627
0.05,0.411335196
0.06,0.40840981
0.07,0.405495349
0.08,0.402714399
0.09,0.400103775
0.1,0.397667472
0.11,0.395396886
0.12,0.393279049
0.13,0.391300111
0.14,0.389446754
0.15,0.387706784
0.16,0.386069251
0.17,0.384524425
0.18,0.383063706
0.19,0.3816795
0.2,0.380365094
0.21,0.379114552
0.22,0.377922604
0.23,0.376784564
0.24,0.375696252
0.25,0.374653929
0.26,0.373762652
0.27,0.372911011
0.28,0.372096257
0.29,0.371315947
0.3,0.370567772
0.31,0.369849768
0.32,0.369160062
0.33,0.36849693
0.34,0.367858852
0.35,0.367244375
0.36,0.366652193
0.37,0.366081095
0.38,0.365529962
0.39,0.364997758
0.4,0.364483525
0.41,0.36398637
0.42,0.363505466
0.43,0.363040039
0.44,0.362589369
0.45,0.362152785
0.46,0.361729655
0.47,0.361319392
0.48,0.360921441
0.49,0.360535283
0.5,0.36016043
0.51,0.359796428
0.52,0.359442833
0.53,0.359099241
0.54,0.358765263
0.55,0.358440548
0.56,0.358124737
0.57,0.357817508
0.58,0.357518551
0.59,0.357227573
0.6,0.356944295
0.61,0.356864658
0.62,0.356785182
0.63,0.356712626
0.64,0.356646808
0.65,0.356587487
0.66,0.356534433
0.67,0.356487493
0.68,0.356446456
0.69,0.356411116
0.7,0.356381353
0.71,0.356356941
0.72,0.356337782
0.73,0.356323695
0.74,0.356314517
0.75,0.356310142
0.76,0.356310406
0.77,0.356315215
0.78,0.356324427
0.79,0.356337895
0.8,0.356355564
0.81,0.356377289
0.82,0.356402946
0.83,0.356432479
0.84,0.356465767
0.85,0.356502692
0.86,0.356543211
0.87,0.356587189
0.88,0.356634588
0.89,0.356685279
0.9,0.356739231
0.91,0.359165057
0.92,0.366442538
0.93,0.379719394
0.94,0.395356886
0.95,0.410994378
0.96,0.42663187
0.97,0.442269361
0.98,0.457906853
0.99,0.473544345
